COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
litecoin	LTC	2017-03-06	3.87	3.93	3.86	3.92
ripple	XRP	2017-03-06	0.006129	0.006221	0.006047	0.006057
bitcoin	BTC	2017-03-07	1273.21	1275.55	1204.8	1223.54
ethereum	ETH	2017-03-07	19.58	19.63	18.64	18.89
litecoin	LTC	2017-03-07	3.89	3.91	3.8	3.82
ripple	XRP	2017-03-07	0.006057	0.006577	0.005974	0.006534
bitcoin	BTC	2017-03-08	1223.23	1232.16	1148.08	1150
ethereum	ETH	2017-03-08	18.88	18.88	16.65	16.65
litecoin	LTC	2017-03-08	3.81	3.82	3.75	3.78
ripple	XRP	2017-03-08	0.006551	0.006776	0.006363	0.006509
bitcoin	BTC	2017-03-09	1150.35	1197.46	1141.23	1188.49
ethereum	ETH	2017-03-09	16.64	17.87	16.37	17.75
litecoin	LTC	2017-03-09	3.77	3.84	3.76	3.84
ripple	XRP	2017-03-09	0.006485	0.006606	0.006423	0.006498
bitcoin	BTC	2017-03-10	1189.36	1270.47	1077.25	1116.72
ethereum	ETH	2017-03-10	17.74	19.66	17.68	19.33
litecoin	LTC	2017-03-10	3.83	3.88	3.73	3.75
ripple	XRP	2017-03-10	0.006503	0.006546	0.00605	0.006227
bitcoin	BTC	2017-03-11	1116.32	1193.83	1116.32	1175.83
ethereum	ETH	2017-03-11	19.37	21.59	19.01	21.47
litecoin	LTC	2017-03-11	3.76	3.84	3.75	3.8
ripple	XRP	2017-03-11	0.006229	0.006383	0.00613	0.006238
bitcoin	BTC	2017-03-12	1176.62	1226.98	1175.36	1221.38
ethereum	ETH	2017-03-12	21.46	23.44	21.38	23.44
litecoin	LTC	2017-03-12	3.79	3.86	3.78	3.84
ripple	XRP	2017-03-12	0.006214	0.006313	0.006086	0.006255
bitcoin	BTC	2017-03-13	1221.78	1237.37	1217.03	1231.92
ethereum	ETH	2017-03-13	23.5	30.6	23.5	28.59
litecoin	LTC	2017-03-13	3.85	4.25	3.83	4.17
ripple	XRP	2017-03-13	0.006271	0.006429	0.006156	0.006385
bitcoin	BTC	2017-03-14	1232.16	1244.81	1220.72	1240
ethereum	ETH	2017-03-14	28.57	29.93	27.32	28.65
litecoin	LTC	2017-03-14	4.17	4.17	4.01	4.06
ripple	XRP	2017-03-14	0.006346	0.006406	0.006277	0.006381
bitcoin	BTC	2017-03-15	1240.16	1251.61	1239.75	1249.61
ethereum	ETH	2017-03-15	28.65	35.06	28.43	35.06
litecoin	LTC	2017-03-15	4.05	4.18	4	4.16
ripple	XRP	2017-03-15	0.00637	0.0065	0.006301	0.006314
bitcoin	BTC	2017-03-16	1251.33	1257.98	1152.44	1187.81
ethereum	ETH	2017-03-16	35.36	47.17	35.36	46.35
litecoin	LTC	2017-03-16	4.15	4.38	4.1	4.24
ripple	XRP	2017-03-16	0.006319	0.006409	0.006213	0.006394
bitcoin	BTC	2017-03-17	1180.16	1180.16	1099.57	1100.23
ethereum	ETH	2017-03-17	45.93	55.11	38.21	46.83
litecoin	LTC	2017-03-17	4.23	4.23	4.04	4.06
ripple	XRP	2017-03-17	0.006406	0.006406	0.00597	0.006116
bitcoin	BTC	2017-03-18	1099.69	1114.07	957.65	973.82
ethereum	ETH	2017-03-18	46.87	46.87	31.7	34.16
litecoin	LTC	2017-03-18	4.04	4.16	3.86	3.97
