COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
ripple	XRP	2017-01-30	0.006402	0.006468	0.006353	0.006381
bitcoin	BTC	2017-01-31	920.96	972.02	920.96	970.4
ethereum	ETH	2017-01-31	10.56	10.75	10.54	10.73
litecoin	LTC	2017-01-31	4.02	4.1	4.02	4.08
ripple	XRP	2017-01-31	0.00639	0.006411	0.006297	0.006314
bitcoin	BTC	2017-02-01	970.94	989.11	970.74	989.02
ethereum	ETH	2017-02-01	10.74	10.85	10.56	10.73
litecoin	LTC	2017-02-01	4.08	4.13	4.03	4.08
ripple	XRP	2017-02-01	0.006311	0.006642	0.006249	0.00654
bitcoin	BTC	2017-02-02	990	1013.52	983.22	1011.8
ethereum	ETH	2017-02-02	10.74	10.89	10.55	10.82
litecoin	LTC	2017-02-02	4.08	4.09	4.02	4.09
ripple	XRP	2017-02-02	0.00654	0.00663	0.006381	0.006469
bitcoin	BTC	2017-02-03	1011.46	1033.87	1008.79	1029.91
ethereum	ETH	2017-02-03	10.81	11.11	10.76	11.11
litecoin	LTC	2017-02-03	4.08	4.11	4.04	4.08
ripple	XRP	2017-02-03	0.006466	0.00651	0.006401	0.006474
bitcoin	BTC	2017-02-04	1031.33	1045.9	1015.16	1042.9
ethereum	ETH	2017-02-04	11.13	11.5	11.13	11.43
litecoin	LTC	2017-02-04	4.08	4.1	4.02	4.06
ripple	XRP	2017-02-04	0.006487	0.006528	0.006429	0.006492
bitcoin	BTC	2017-02-05	1043.52	1043.63	1022.37	1027.34
ethereum	ETH	2017-02-05	11.44	11.49	11.32	11.35
litecoin	LTC	2017-02-05	4.07	4.07	4.02	4.04
ripple	XRP	2017-02-05	0.006494	0.006563	0.006403	0.006442
bitcoin	BTC	2017-02-06	1028.4	1044.64	1028.16	1038.15
ethereum	ETH	2017-02-06	11.35	11.48	11.34	11.39
litecoin	LTC	2017-02-06	4.06	4.08	4.04	4.04
ripple	XRP	2017-02-06	0.006439	0.006494	0.006397	0.00645
bitcoin	BTC	2017-02-07	1040.14	1061.93	1040.14	1061.35
ethereum	ETH	2017-02-07	11.43	11.61	11.41	11.52
litecoin	LTC	2017-02-07	4.05	4.08	4.04	4.04
ripple	XRP	2017-02-07	0.006437	0.006509	0.006378	0.006407
bitcoin	BTC	2017-02-08	1062.32	1078.97	1037.49	1063.07
ethereum	ETH	2017-02-08	11.54	11.63	11.24	11.43
litecoin	LTC	2017-02-08	4.05	4.08	3.97	4.02
ripple	XRP	2017-02-08	0.006407	0.007833	0.006402	0.006438
bitcoin	BTC	2017-02-09	1064.7	1088.99	953.34	994.38
ethereum	ETH	2017-02-09	11.44	11.6	10.67	11.03
litecoin	LTC	2017-02-09	4.03	4.08	3.71	3.8
ripple	XRP	2017-02-09	0.006433	0.006484	0.006193	0.006374
bitcoin	BTC	2017-02-10	995.63	998.9	946.69	988.67
ethereum	ETH	2017-02-10	11.04	11.34	10.78	11.28
litecoin	LTC	2017-02-10	3.8	3.81	3.7	3.78
ripple	XRP	2017-02-10	0.006367	0.0067	0.006192	0.006289
bitcoin	BTC	2017-02-11	988.9	1009.29	982.83	1004.45
ethereum	ETH	2017-02-11	11.29	11.43	11.24	11.35
litecoin	LTC	2017-02-11	3.78	3.8	3.77	3.79
ripple	XRP	2017-02-11	0.00629	0.006395	0.006273	0.006333
bitcoin	BTC	2017-02-12	1003.52	1004.76	996.92	999.18
ethereum	ETH	2017-02-12	11.35	11.4	11.3	11.4
litecoin	LTC	2017-02-12	3.8	3.8	3.75	3.76
ripple	XRP	2017-02-12	0.006328	0.006364	0.006269	0.006269
bitcoin	BTC	2017-02-13	998.88	1002.1	976	990.64
ethereum	ETH	2017-02-13	11.38	11.39	11.17	11.27
litecoin	LTC	2017-02-13	3.77	3.77	3.7	3.72
ripple	XRP	2017-02-13	0.006267	0.006338	0.006228	0.006251
bitcoin	BTC	2017-02-14	991.74	1011.51	986.47	1004.55
ethereum	ETH	2017-02-14	11.29	13.33	11.29	13.03
litecoin	LTC	2017-02-14	3.72	3.77	3.71	3.77
ripple	XRP	2017-02-14	0.00624	0.006352	0.00624	0.006278
bitcoin	BTC	2017-02-15	1006.21	1008.84	1001.58	1007.48
ethereum	ETH	2017-02-15	13.04	13.04	12.64	12.92
litecoin	LTC	2017-02-15	3.77	3.82	3.76	3.81
ripple	XRP	2017-02-15	0.006279	0.006302	0.006095	0.006147
bitcoin	BTC	2017-02-16	1007.65	1033.37	1007.65	1027.44
ethereum	ETH	2017-02-16	12.92	12.92	12.54	12.9
litecoin	LTC	2017-02-16	3.8	3.82	3.78	3.79
ripple	XRP	2017-02-16	0.006138	0.006244	0.005988	0.006027
bitcoin	BTC	2017-02-17	1026.12	1053.17	1025.64	1046.21
ethereum	ETH	2017-02-17	12.9	12.91	12.66	12.68
litecoin	LTC	2017-02-17	3.78	3.84	3.77	3.83
ripple	XRP	2017-02-17	0.005939	0.006095	0.005872	0.005935
bitcoin	BTC	2017-02-18	1049.21	1061.1	1046.96	1054.42
ethereum	ETH	2017-02-18	12.71	12.83	12.68	12.81
litecoin	LTC	2017-02-18	3.83	3.83	3.78	3.79
ripple	XRP	2017-02-18	0.005949	0.006014	0.005427	0.005569
bitcoin	BTC	2017-02-19	1054.76	1056.81	1043.46	1047.87
ethereum	ETH	2017-02-19	12.82	12.87	12.71	12.76
litecoin	LTC	2017-02-19	3.79	3.79	3.74	3.76
ripple	XRP	2017-02-19	0.005589	0.005892	0.00557	0.005878
bitcoin	BTC	2017-02-20	1048.69	1080.49	1041.69	1079.98
ethereum	ETH	2017-02-20	12.77	12.9	12.43	12.43
litecoin	LTC	2017-02-20	3.77	3.78	3.75	3.77
ripple	XRP	2017-02-20	0.005879	0.005949	0.00574	0.005873
bitcoin	BTC	2017-02-21	1079.28	1117.25	1076.93	1115.3
ethereum	ETH	2017-02-21	12.34	12.77	12.21	12.67
litecoin	LTC	2017-02-21	3.76	3.8	3.76	3.78
ripple	XRP	2017-02-21	0.005871	0.005909	0.005735	0.005832
bitcoin	BTC	2017-02-22	1114.8	1125.39	1100.55	1117.44
ethereum	ETH	2017-02-22	12.69	12.76	12.55	12.6
litecoin	LTC	2017-02-22	3.79	3.84	3.78	3.81
ripple	XRP	2017-02-22	0.005849	0.005887	0.005817	0.00586
bitcoin	BTC	2017-02-23	1117.27	1176.62	1116.96	1166.72
ethereum	ETH	2017-02-23	12.6	13.21	12.56	13.12
litecoin	LTC	2017-02-23	3.8	3.85	3.8	3.84
ripple	XRP	2017-02-23	0.005856	0.005943	0.005798	0.005895
bitcoin	BTC	2017-02-24	1172.71	1200.39	1131.96	1173.68
ethereum	ETH	2017-02-24	13.13	13.23	12.88	13.07
litecoin	LTC	2017-02-24	3.83	3.88	3.82	3.85
ripple	XRP	2017-02-24	0.005883	0.005919	0.005644	0.005701
bitcoin	BTC	2017-02-25	1170.41	1174.85	1124.59	1143.84
ethereum	ETH	2017-02-25	13.06	13.72	12.98	13.55
litecoin	LTC	2017-02-25	3.85	3.86	3.81	3.83
ripple	XRP	2017-02-25	0.0057	0.005743	0.005628	0.005665
bitcoin	BTC	2017-02-26	1144.27	1167.47	1130.2	1165.2
ethereum	ETH	2017-02-26	13.52	14.54	13.4	14.52
litecoin	LTC	2017-02-26	3.82	3.85	3.8	3.83
ripple	XRP	2017-02-26	0.005664	0.005733	0.005651	0.005671
bitcoin	BTC	2017-02-27	1163.78	1181.98	1163.38	1179.97
ethereum	ETH	2017-02-27	14.51	15.68	14.27	15.4
litecoin	LTC	2017-02-27	3.81	3.83	3.8	3.8
ripple	XRP	2017-02-27	0.005665	0.005696	0.005608	0.005609
bitcoin	BTC	2017-02-28	1180.72	1193.25	1171.82	1179.97
ethereum	ETH	2017-02-28	15.45	16.06	15.12	15.82
litecoin	LTC	2017-02-28	3.8	3.82	3.76	3.77
ripple	XRP	2017-02-28	0.005608	0.005631	0.005438	0.005536
bitcoin	BTC	2017-03-01	1180.04	1222.5	1179.69	1222.5
ethereum	ETH	2017-03-01	15.85	17.37	15.56	17.35
litecoin	LTC	2017-03-01	3.77	3.81	3.76	3.8
ripple	XRP	2017-03-01	0.005525	0.005547	0.005372	0.005408
bitcoin	BTC	2017-03-02	1224.68	1262.13	1215.62	1251.01
ethereum	ETH	2017-03-02	17.36	19.35	16.95	19.03
litecoin	LTC	2017-03-02	3.8	4.11	3.78	3.92
ripple	XRP	2017-03-02	0.005419	0.006217	0.005408	0.005991
bitcoin	BTC	2017-03-03	1250.71	1280.31	1250.71	1274.99
ethereum	ETH	2017-03-03	19.04	20.67	18.41	19.46
litecoin	LTC	2017-03-03	3.92	4	3.9	3.92
ripple	XRP	2017-03-03	0.005988	0.006346	0.005968	0.006339
bitcoin	BTC	2017-03-04	1277.43	1279.4	1230.51	1255.15
ethereum	ETH	2017-03-04	19.52	20.05	18.62	18.62
litecoin	LTC	2017-03-04	3.91	3.92	3.86	3.88
ripple	XRP	2017-03-04	0.006354	0.006497	0.006278	0.006299
bitcoin	BTC	2017-03-05	1254.29	1267.29	1238.06	1267.12
ethereum	ETH	2017-03-05	18.5	19.42	18.23	19.3
litecoin	LTC	2017-03-05	3.86	3.9	3.84	3.9
ripple	XRP	2017-03-05	0.00629	0.006389	0.006129	0.006129
bitcoin	BTC	2017-03-06	1267.47	1276	1264.6	1272.83
ethereum	ETH	2017-03-06	19.28	20.1	19.11	19.61
